年龄,收入,地区,是否高风险
55,11.41,中部,1
59,10.81,西部,1
26,5.8,东部,0
43,11.7,东部,1
29,6.83,东部,1
64,10.3,中部,1
31,8.15,东部,0
25,7.09,东部,0
47,4.02,西部,0
63,7.62,东部,1
65,4.57,东部,1
22,10.13,东部,1
34,11.34,中部,1
25,,东部,1
34,8.66,东部,1
45,6.4,东部,0
32,6.62,西部,0
21,9.7,西部,1
44,7.92,中部,1
20,11.83,中部,1
29,6.94,西部,0
18,10.2,西部,1
22,8.21,中部,0
40,9.75,西部,1
62,7.02,西部,1
58,7.89,西部,0
23,7.75,中部,0
19,6.16,东部,0
35,9.46,东部,1
51,9.43,中部,0
56,9.31,中部,1
60,11.38,中部,1
35,11.19,中部,0
26,7.18,中部,0
19,8.82,西部,0
25,6.63,东部,0
21,8.05,东部,0
62,6.68,西部,1
31,11.56,西部,1
60,8.8,西部,1
46,7.52,西部,0
46,10.63,西部,1
41,3.22,东部,0
60,3.57,中部,0
20,9.75,东部,0
22,8.13,中部,0
40,8.55,西部,0
38,5.08,东部,0
46,7.95,中部,0
56,12.41,东部,1
48,9.81,东部,1
31,8.37,东部,1
35,,东部,0
57,7.13,西部,1
28,3.32,中部,0
44,8.57,西部,0
46,9.86,中部,0
57,4.53,东部,0
55,6.54,东部,1
42,5.45,西部,0
34,5.88,东部,0
37,8.12,西部,1
39,3.41,东部,1
29,9.35,中部,0
50,9.66,西部,1
28,7.45,东部,1
51,2.54,东部,1
57,5.81,西部,1
68,,东部,1
24,1.89,中部,0
57,7.24,中部,0
22,5.4,东部,0
35,9.77,西部,1
27,6.51,西部,1
26,8.89,东部,0
27,9.24,西部,1
20,12.04,东部,1
60,7.55,东部,1
21,8.83,中部,0
38,4.73,西部,0
54,10.62,东部,1
69,6.33,东部,1
62,6.77,中部,0
25,7.95,西部,0
69,4.56,东部,0
51,8.5,东部,1
27,10.13,中部,1
41,8.64,东部,1
65,4.5,东部,1
38,7.73,东部,0
27,9.63,中部,1
63,3.87,中部,0
67,5.64,西部,0
68,9.93,中部,1
67,8.59,中部,1
63,8.91,西部,1
41,12.09,中部,1
27,9.03,中部,1
50,9.45,西部,1
29,13.96,东部,1
42,7.53,中部,0
52,6.24,西部,1
67,8.94,东部,1
33,8.97,中部,0
31,6.84,东部,0
56,5.73,东部,1
18,13.08,中部,1
47,8.72,东部,1
