记录ID,城市ID,日期,经济活力,医疗负荷,应急响应时间,基础设施完好率,灾害损失率,降雨量
C01-202401,C01,2024-01-01,58.47,58.88,41.5,75.96,6.515,93.75
C01-202402,C01,2024-02-01,58.05,67.82,40.9,77.16,7.759,89.03
C01-202403,C01,2024-03-01,61.77,65.87,40.34,73.83,6.466,109.47
C01-202404,C01,2024-04-01,64.34,68.84,44.09,74.62,6.542,88.29
C01-202405,C01,2024-05-01,61.14,68.94,43.84,74.76,6.77,118.44
C01-202406,C01,2024-06-01,60.98,65.69,39.84,75.57,5.615,57.83
C01-202407,C01,2024-07-01,59.97,64.24,42.43,73.53,5.149,32.66
C01-202408,C01,2024-08-01,63.65,60.23,41.48,74.78,5.636,57.84
C01-202409,C01,2024-09-01,63.66,59.09,43.19,76.43,5.013,28.96
C01-202410,C01,2024-10-01,61.09,52.6,44.76,76.95,3.799,33.06
C01-202411,C01,2024-11-01,64.54,57.85,40.12,79.44,3.575,15.32
C01-202412,C01,2024-12-01,63.72,61.69,42.59,78.66,4.793,30.53
C01-202501,C01,2025-01-01,,63.21,43.07,77.47,6.223,72.34
C01-202502,C01,2025-02-01,63.99,63.09,43.69,77.18,6.566,95.83
C01-202503,C01,2025-03-01,63.15,68.62,46.93,77.64,8.891,137.07
C01-202504,C01,2025-04-01,65.15,65.62,43.11,78.14,7.106,104.33
C01-202505,C01,2025-05-01,67.32,67.07,43.28,83.25,6.872,108.76
C01-202506,C01,2025-06-01,63.71,62.69,44.85,77.31,6.082,76.71
C01-202507,C01,2025-07-01,66.86,60.48,40.45,78.69,5.65,64.05
C01-202508,C01,2025-08-01,64.08,62.55,40.62,77.4,4.708,47.49
C01-202509,C01,2025-09-01,67.27,60.5,44.54,84.27,4.092,45.55
C01-202510,C01,2025-10-01,65.07,55.47,38.79,78.24,3.233,8.92
C01-202511,C01,2025-11-01,66.7,60.13,42.63,80.25,4.397,31.05
C01-202512,C01,2025-12-01,67.37,54.93,40.9,75.76,5.535,74.32
C01-202601,C01,2026-01-01,66.26,69.05,43.67,80.89,5.325,63.17
C01-202602,C01,2026-02-01,67.57,66.04,39.14,79.28,5.745,72.51
C01-202603,C01,2026-03-01,66.17,65.73,43.35,80.02,6.842,100.74
C01-202604,C01,2026-04-01,67.51,66.65,45.34,81.26,7.059,126.21
C01-202605,C01,2026-05-01,70.36,71.23,47.71,78.51,7.329,115.83
C01-202606,C01,2026-06-01,68.5,63.57,40.34,80.63,5.657,87.67
C02-202401,C02,2024-01-01,59.6,65.44,43.72,73.5,6.671,53.09
C02-202402,C02,2024-02-01,63.07,64.01,42.0,75.71,6.0,91.66
C02-202403,C02,2024-03-01,62.32,68.8,42.67,72.13,7.234,88.31
C02-202404,C02,2024-04-01,59.91,72.57,45.75,71.7,6.511,97.91
C02-202405,C02,2024-05-01,62.89,72.57,42.54,72.97,7.207,92.8
C02-202406,C02,2024-06-01,65.37,63.69,44.05,73.84,6.003,51.78
C02-202407,C02,2024-07-01,58.85,62.39,44.3,73.15,6.326,73.26
C02-202408,C02,2024-08-01,65.12,61.6,39.77,72.83,5.571,54.34
C02-202409,C02,2024-09-01,65.46,63.14,42.37,67.82,4.016,9.67
C02-202410,C02,2024-10-01,63.41,53.79,45.75,74.17,5.6,48.29
C02-202411,C02,2024-11-01,65.72,61.5,44.13,78.9,5.146,30.18
C02-202412,C02,2024-12-01,65.99,65.67,44.8,73.69,5.318,18.79
C02-202501,C02,2025-01-01,70.55,62.49,43.18,74.13,5.822,78.92
C02-202502,C02,2025-02-01,60.17,65.94,44.79,73.96,7.119,74.15
C02-202503,C02,2025-03-01,68.58,69.86,46.61,75.7,7.673,104.17
C02-202504,C02,2025-04-01,67.29,,44.58,76.15,8.197,110.84
C02-202505,C02,2025-05-01,67.44,72.85,47.11,75.57,6.034,99.92
C02-202506,C02,2025-06-01,62.46,71.65,45.02,77.74,6.447,95.25
C02-202507,C02,2025-07-01,67.72,64.64,42.1,76.11,6.371,41.71
C02-202508,C02,2025-08-01,69.6,64.77,46.44,75.76,4.68,55.02
C02-202509,C02,2025-09-01,69.42,57.5,42.17,74.96,5.075,23.2
C02-202510,C02,2025-10-01,69.4,61.61,42.69,76.94,4.18,31.24
C02-202511,C02,2025-11-01,68.7,61.38,44.25,79.89,4.59,0.0
C02-202512,C02,2025-12-01,68.0,63.68,47.72,79.9,5.297,27.53
C02-202601,C02,2026-01-01,67.23,67.11,41.4,76.67,5.571,59.18
C02-202602,C02,2026-02-01,68.59,59.92,46.18,75.95,6.836,111.39
C02-202603,C02,2026-03-01,69.05,71.44,41.84,76.51,7.19,102.67
C02-202604,C02,2026-04-01,66.68,71.75,47.1,77.65,6.138,100.79
C02-202605,C02,2026-05-01,66.88,70.0,43.49,75.62,7.038,114.56
C02-202606,C02,2026-06-01,69.21,69.01,43.48,80.1,6.393,84.75
C03-202401,C03,2024-01-01,60.31,67.96,44.25,64.47,5.846,52.01
C03-202402,C03,2024-02-01,67.05,64.48,42.73,71.63,6.723,73.98
C03-202403,C03,2024-03-01,62.94,73.27,41.52,65.89,7.017,92.8
C03-202404,C03,2024-04-01,63.63,72.4,49.66,74.02,7.851,133.25
C03-202405,C03,2024-05-01,68.44,66.86,48.56,67.97,7.313,103.72
C03-202406,C03,2024-06-01,63.18,66.64,46.46,72.2,6.545,83.86
C03-202407,C03,2024-07-01,66.54,64.18,46.86,72.05,7.21,66.05
C03-202408,C03,2024-08-01,64.78,66.9,46.14,69.54,5.32,36.86
C03-202409,C03,2024-09-01,64.34,61.53,44.6,72.8,4.784,34.15
C03-202410,C03,2024-10-01,62.47,58.31,40.77,70.7,3.5,0.0
C03-202411,C03,2024-11-01,65.05,61.44,46.5,72.53,4.66,15.49
C03-202412,C03,2024-12-01,66.03,65.58,45.63,69.59,5.398,35.58
C03-202501,C03,2025-01-01,67.62,69.38,43.87,75.24,4.832,34.53
C03-202502,C03,2025-02-01,67.43,69.29,45.89,72.02,7.198,90.76
C03-202503,C03,2025-03-01,67.8,73.87,45.73,73.54,7.441,124.64
C03-202504,C03,2025-04-01,72.52,71.73,42.8,71.11,8.221,126.36
C03-202505,C03,2025-05-01,68.9,74.45,,74.85,7.923,112.27
