项目ID,城市ID,项目类型,成本,预测风险下降,韧性提升
P001,C01,医疗,231,1.623,2.049
P002,C01,通信,120,0.437,5.379
P003,C01,排水,235,0.938,5.795
P004,C02,医疗,109,1.19,5.945
P005,C02,排水,101,1.72,1.53
P006,C02,储备,99,0.773,1.649
P007,C03,通信,248,0.436,3.49
P008,C03,医疗,148,0.537,3.16
P009,C03,储备,101,1.731,1.725
P010,C04,通信,188,0.603,1.274
P011,C04,医疗,102,0.509,3.467
P012,C04,储备,254,0.431,3.205
P013,C05,医疗,91,0.408,2.101
P014,C05,通信,153,1.0,5.952
P015,C05,排水,170,1.769,3.115
P016,C06,通信,91,0.321,1.476
P017,C06,排水,130,0.98,2.698
P018,C06,医疗,112,1.374,2.786
P019,C07,储备,141,0.576,3.477
P020,C07,医疗,181,0.529,1.808
P021,C07,通信,131,0.696,1.862
P022,C08,储备,162,1.122,2.253
P023,C08,排水,186,0.979,1.439
P024,C08,医疗,145,0.633,1.967
P025,C09,排水,214,1.72,4.26
P026,C09,储备,225,1.294,3.4
P027,C09,通信,200,1.066,2.775
P028,C10,储备,228,0.889,2.567
P029,C10,通信,111,1.57,2.894
P030,C10,排水,97,0.964,4.768
