记录ID,站点,地区,日期,温度,湿度,PM2.5,状态
S01-20260101,S01,东区,2026-01-01,12.46,67.84,38.75,有效
S01-20260102,S01,东区,2026-01-02,13.56,64.1,29.34,有效
S01-20260103,S01,东区,2026-01-03,12.49,70.54,36.61,有效
S01-20260104,S01,东区,2026-01-04,11.17,75.22,41.38,有效
S01-20260105,S01,东区,2026-01-05,12.7,76.11,40.58,有效
S01-20260106,S01,东区,2026-01-06,11.46,72.98,34.14,有效
S01-20260107,S01,东区,2026-01-07,14.22,71.2,38.61,有效
S01-20260108,S01,东区,2026-01-08,12.03,76.19,39.28,有效
S01-20260109,S01,东区,2026-01-09,12.56,69.79,43.12,有效
S01-20260110,S01,东区,2026-01-10,13.9,72.75,42.91,有效
S01-20260111,S01,东区,2026-01-11,16.71,69.37,38.38,有效
S01-20260112,S01,东区,2026-01-12,12.43,73.36,46.64,有效
S01-20260113,S01,东区,2026-01-13,13.63,67.44,36.82,有效
S01-20260114,S01,东区,2026-01-14,14.93,73.67,43.47,有效
S01-20260115,S01,东区,2026-01-15,13.1,71.53,41.04,有效
S01-20260116,S01,东区,2026-01-16,,73.99,41.16,有效
S01-20260117,S01,东区,2026-01-17,15.42,70.67,40.98,有效
S01-20260118,S01,东区,2026-01-18,15.5,64.47,37.33,有效
S01-20260119,S01,东区,2026-01-19,13.99,67.64,36.86,有效
S01-20260120,S01,东区,2026-01-20,17.09,66.64,42.33,有效
S01-20260121,S01,东区,2026-01-21,12.48,68.66,37.5,有效
S01-20260122,S01,东区,2026-01-22,16.03,72.74,39.81,有效
S01-20260123,S01,东区,2026-01-23,14.78,67.95,39.28,有效
S01-20260124,S01,东区,2026-01-24,15.16,64.6,28.47,有效
S01-20260125,S01,东区,2026-01-25,14.22,71.59,34.01,有效
S01-20260126,S01,东区,2026-01-26,16.79,67.79,33.29,有效
S01-20260127,S01,东区,2026-01-27,16.84,68.16,34.03,有效
S01-20260128,S01,东区,2026-01-28,15.06,67.85,29.16,有效
S01-20260129,S01,东区,2026-01-29,14.41,71.15,28.11,有效
S01-20260130,S01,东区,2026-01-30,16.37,71.02,32.18,有效
S01-20260131,S01,东区,2026-01-31,17.5,68.61,27.42,有效
S01-20260201,S01,东区,2026-02-01,16.53,62.15,22.0,有效
S01-20260202,S01,东区,2026-02-02,14.82,64.81,31.06,有效
S01-20260203,S01,东区,2026-02-03,15.59,67.19,35.5,有效
S01-20260204,S01,东区,2026-02-04,16.57,71.55,24.39,有效
S01-20260205,S01,东区,2026-02-05,16.94,64.7,27.55,有效
S01-20260206,S01,东区,2026-02-06,18.66,61.49,31.72,有效
S01-20260207,S01,东区,2026-02-07,17.91,65.92,22.73,有效
S01-20260208,S01,东区,2026-02-08,17.81,66.08,,有效
S01-20260209,S01,东区,2026-02-09,17.88,74.51,29.88,有效
S01-20260210,S01,东区,2026-02-10,16.46,68.72,32.87,有效
S01-20260211,S01,东区,2026-02-11,20.19,71.24,34.3,有效
S01-20260212,S01,东区,2026-02-12,20.49,63.04,30.12,有效
S01-20260213,S01,东区,2026-02-13,17.06,66.14,27.28,有效
S01-20260214,S01,东区,2026-02-14,19.55,66.71,27.66,有效
S01-20260215,S01,东区,2026-02-15,17.23,68.75,40.06,有效
S01-20260216,S01,东区,2026-02-16,21.9,79.06,38.78,有效
S01-20260217,S01,东区,2026-02-17,17.57,58.77,38.85,有效
S01-20260218,S01,东区,2026-02-18,17.98,65.54,35.2,有效
S01-20260219,S01,东区,2026-02-19,19.14,71.36,39.73,有效
S01-20260220,S01,东区,2026-02-20,19.26,62.86,31.17,有效
S01-20260221,S01,东区,2026-02-21,18.92,66.68,48.9,有效
S01-20260222,S01,东区,2026-02-22,20.0,70.73,37.97,有效
S01-20260223,S01,东区,2026-02-23,18.17,62.84,37.14,有效
S01-20260224,S01,东区,2026-02-24,23.29,63.31,45.13,有效
S01-20260225,S01,东区,2026-02-25,18.9,70.23,42.92,有效
S01-20260226,S01,东区,2026-02-26,20.17,66.24,37.66,有效
S01-20260227,S01,东区,2026-02-27,21.22,64.48,34.62,有效
S01-20260228,S01,东区,2026-02-28,18.78,66.89,48.34,有效
S01-20260301,S01,东区,2026-03-01,21.09,65.63,41.47,有效
S02-20260101,S02,东区,2026-01-01,14.36,72.88,34.95,有效
S02-20260102,S02,东区,2026-01-02,14.21,73.62,45.53,有效
S02-20260103,S02,东区,2026-01-03,12.97,66.9,31.85,有效
S02-20260104,S02,东区,2026-01-04,15.33,78.59,38.6,有效
S02-20260105,S02,东区,2026-01-05,12.43,77.45,34.71,有效
S02-20260106,S02,东区,2026-01-06,11.81,74.07,38.96,有效
S02-20260107,S02,东区,2026-01-07,13.29,70.75,43.22,有效
S02-20260108,S02,东区,2026-01-08,15.56,71.66,45.27,有效
S02-20260109,S02,东区,2026-01-09,10.52,71.01,38.24,有效
S02-20260110,S02,东区,2026-01-10,11.92,67.59,41.09,有效
S02-20260111,S02,东区,2026-01-11,15.27,65.69,43.09,有效
S02-20260112,S02,东区,2026-01-12,13.32,69.59,48.01,有效
S02-20260113,S02,东区,2026-01-13,15.01,76.15,42.17,有效
S02-20260114,S02,东区,2026-01-14,13.31,69.8,43.97,有效
S02-20260115,S02,东区,2026-01-15,14.76,66.26,42.91,有效
S02-20260116,S02,东区,2026-01-16,14.99,80.57,180.0,有效
S02-20260117,S02,东区,2026-01-17,13.52,69.25,34.21,有效
S02-20260118,S02,东区,2026-01-18,14.06,71.56,46.95,有效
S02-20260119,S02,东区,2026-01-19,14.01,67.58,29.5,有效
S02-20260120,S02,东区,2026-01-20,15.01,65.85,36.84,有效
S02-20260121,S02,东区,2026-01-21,14.08,69.62,29.9,有效
S02-20260122,S02,东区,2026-01-22,13.35,78.42,31.41,有效
S02-20260123,S02,东区,2026-01-23,14.05,77.15,51.52,有效
S02-20260124,S02,东区,2026-01-24,14.09,68.23,37.85,有效
S02-20260125,S02,东区,2026-01-25,18.59,65.65,34.08,有效
S02-20260126,S02,东区,2026-01-26,17.32,71.24,32.62,有效
S02-20260127,S02,东区,2026-01-27,16.1,63.9,32.56,有效
S02-20260128,S02,东区,2026-01-28,16.05,70.23,30.29,有效
S02-20260129,S02,东区,2026-01-29,17.31,73.25,33.24,有效
S02-20260130,S02,东区,2026-01-30,17.28,69.31,31.95,有效
S02-20260131,S02,东区,2026-01-31,15.82,70.27,31.05,有效
S02-20260201,S02,东区,2026-02-01,20.19,75.19,33.17,有效
S02-20260202,S02,东区,2026-02-02,16.06,64.35,37.02,有效
S02-20260203,S02,东区,2026-02-03,17.74,70.62,22.28,有效
S02-20260204,S02,东区,2026-02-04,18.89,70.42,25.51,有效
S02-20260205,S02,东区,2026-02-05,16.94,69.55,31.51,有效
S02-20260206,S02,东区,2026-02-06,17.36,67.99,30.29,有效
S02-20260207,S02,东区,2026-02-07,18.18,74.19,19.13,有效
S02-20260208,S02,东区,2026-02-08,17.74,68.91,33.95,有效
S02-20260209,S02,东区,2026-02-09,17.69,61.07,34.72,有效
S02-20260210,S02,东区,2026-02-10,20.99,61.86,38.09,有效
S02-20260211,S02,东区,2026-02-11,18.06,67.65,29.26,有效
S02-20260212,S02,东区,2026-02-12,18.2,73.0,38.24,有效
S02-20260213,S02,东区,2026-02-13,21.45,72.41,38.36,有效
S02-20260214,S02,东区,2026-02-14,21.62,69.36,41.16,有效
S02-20260215,S02,东区,2026-02-15,18.71,67.77,34.38,有效
S02-20260216,S02,东区,2026-02-16,20.78,62.69,42.62,有效
S02-20260217,S02,东区,2026-02-17,19.16,71.98,43.26,有效
S02-20260218,S02,东区,2026-02-18,22.33,70.12,32.4,有效
S02-20260219,S02,东区,2026-02-19,19.65,62.41,38.35,有效
S02-20260220,S02,东区,2026-02-20,22.17,69.55,38.05,有效
S02-20260221,S02,东区,2026-02-21,,67.03,35.97,有效
S02-20260222,S02,东区,2026-02-22,19.19,68.05,48.24,有效
S02-20260223,S02,东区,2026-02-23,21.26,57.53,44.28,有效
S02-20260224,S02,东区,2026-02-24,20.61,68.26,51.02,有效
S02-20260225,S02,东区,2026-02-25,17.56,64.14,45.95,有效
S02-20260226,S02,东区,2026-02-26,18.43,72.3,44.78,有效
S02-20260227,S02,东区,2026-02-27,22.22,64.02,46.82,有效
S02-20260228,S02,东区,2026-02-28,22.7,67.13,43.62,有效
S02-20260301,S02,东区,2026-03-01,21.66,62.65,41.3,有效
S03-20260101,S03,中区,2026-01-01,12.57,73.53,44.0,有效
S03-20260102,S03,中区,2026-01-02,11.36,71.4,47.26,有效
S03-20260103,S03,中区,2026-01-03,11.98,68.51,41.7,有效
S03-20260104,S03,中区,2026-01-04,14.52,71.75,48.14,有效
S03-20260105,S03,中区,2026-01-05,14.69,74.97,45.02,有效
S03-20260106,S03,中区,2026-01-06,17.04,70.68,32.91,有效
S03-20260107,S03,中区,2026-01-07,16.11,69.57,44.08,有效
S03-20260108,S03,中区,2026-01-08,15.81,64.89,37.79,有效
S03-20260109,S03,中区,2026-01-09,11.6,68.02,46.66,有效
S03-20260110,S03,中区,2026-01-10,14.94,72.21,37.69,有效
S03-20260111,S03,中区,2026-01-11,10.83,71.22,42.58,有效
S03-20260112,S03,中区,2026-01-12,15.14,73.71,45.69,有效
S03-20260113,S03,中区,2026-01-13,15.74,71.72,47.59,有效
S03-20260114,S03,中区,2026-01-14,13.69,69.98,45.74,有效
S03-20260115,S03,中区,2026-01-15,16.13,69.03,47.06,有效
S03-20260116,S03,中区,2026-01-16,14.65,70.03,48.19,有效
S03-20260117,S03,中区,2026-01-17,12.21,65.21,36.12,有效
S03-20260118,S03,中区,2026-01-18,11.85,67.59,46.67,有效
S03-20260119,S03,中区,2026-01-19,15.07,70.99,47.68,有效
S03-20260120,S03,中区,2026-01-20,17.64,69.82,48.25,有效
S03-20260121,S03,中区,2026-01-21,-25.0,66.65,37.71,有效
S03-20260122,S03,中区,2026-01-22,13.73,66.35,38.06,有效
S03-20260123,S03,中区,2026-01-23,17.31,76.68,32.08,有效
S03-20260124,S03,中区,2026-01-24,16.84,65.54,40.51,有效
S03-20260125,S03,中区,2026-01-25,16.2,62.28,41.94,有效
S03-20260126,S03,中区,2026-01-26,15.64,67.36,31.15,有效
S03-20260127,S03,中区,2026-01-27,15.72,71.11,34.8,有效
S03-20260128,S03,中区,2026-01-28,17.34,70.75,41.67,有效
S03-20260129,S03,中区,2026-01-29,16.49,63.29,39.8,有效
S03-20260130,S03,中区,2026-01-30,16.65,73.56,35.86,有效
S03-20260131,S03,中区,2026-01-31,17.1,70.4,43.29,有效
S03-20260201,S03,中区,2026-02-01,20.57,69.18,34.04,有效
S03-20260202,S03,中区,2026-02-02,19.21,65.42,34.72,有效
S03-20260203,S03,中区,2026-02-03,17.71,69.96,28.83,有效
S03-20260204,S03,中区,2026-02-04,15.52,60.31,27.48,有效
S03-20260205,S03,中区,2026-02-05,17.36,67.33,42.93,有效
S03-20260206,S03,中区,2026-02-06,19.86,64.55,35.29,有效
S03-20260207,S03,中区,2026-02-07,17.74,67.16,34.89,有效
S03-20260208,S03,中区,2026-02-08,19.43,66.84,39.79,有效
S03-20260209,S03,中区,2026-02-09,16.94,68.13,48.07,有效
S03-20260210,S03,中区,2026-02-10,19.13,73.73,36.23,有效
S03-20260211,S03,中区,2026-02-11,19.82,67.67,35.67,有效
S03-20260212,S03,中区,2026-02-12,17.93,69.52,33.07,有效
S03-20260213,S03,中区,2026-02-13,20.25,72.04,39.99,有效
S03-20260214,S03,中区,2026-02-14,18.97,69.42,37.47,有效
S03-20260215,S03,中区,2026-02-15,20.95,60.17,38.19,有效
S03-20260216,S03,中区,2026-02-16,16.71,61.42,47.52,有效
S03-20260217,S03,中区,2026-02-17,21.19,64.42,33.99,有效
S03-20260218,S03,中区,2026-02-18,15.55,65.03,54.36,有效
S03-20260219,S03,中区,2026-02-19,20.8,64.86,45.27,有效
S03-20260220,S03,中区,2026-02-20,17.96,65.81,44.04,有效
S03-20260221,S03,中区,2026-02-21,20.32,70.06,45.78,有效
S03-20260222,S03,中区,2026-02-22,21.6,64.05,48.95,有效
S03-20260223,S03,中区,2026-02-23,23.19,62.82,40.32,有效
S03-20260224,S03,中区,2026-02-24,22.9,65.83,51.96,有效
S03-20260225,S03,中区,2026-02-25,20.39,72.32,45.66,有效
S03-20260226,S03,中区,2026-02-26,21.59,72.66,43.13,有效
S03-20260227,S03,中区,2026-02-27,19.94,64.51,47.01,有效
S03-20260228,S03,中区,2026-02-28,19.15,68.75,41.76,有效
S03-20260301,S03,中区,2026-03-01,23.37,56.52,40.1,有效
S04-20260101,S04,中区,2026-01-01,10.67,68.7,42.24,有效
S04-20260102,S04,中区,2026-01-02,13.08,70.89,41.06,有效
S04-20260103,S04,中区,2026-01-03,13.81,67.77,46.23,有效
